Date, Open, Close/Last, Volume, High, Low
3/1/2010,29.39,29.8557,137312041,$29.93 ,$29.35 
3/2/2010,29.99,29.8357,141486282,$30.12 ,$29.68 
3/3/2010,29.85,29.9043,92846488,$29.98 ,$29.71 
3/4/2010,29.9,30.1014,89591907,$30.13 ,$29.80 
3/5/2010,30.71,31.2786,224647427,$31.39 ,$30.66 
3/8/2010,31.43,31.2971,107326832,$31.44 ,$31.18 
3/9/2010,31.19,31.86,229908139,$32.14 ,$31.13 
3/10/2010,31.98,32.12,148907755,$32.21 ,$31.89 
3/11/2010,31.99,32.2143,101209110,$32.21 ,$31.90 
3/12/2010,32.48,32.3714,103841951,$32.53 ,$32.25 
3/15/2010,32.2,31.9771,123005437,$32.21 ,$31.46 
3/16/2010,32.03,32.0643,111581993,$32.14 ,$31.79 
3/17/2010,32.13,32.0171,112501374,$32.35 ,$31.90 
3/18/2010,32.01,32.0928,85156076,$32.14 ,$31.80 
3/19/2010,32.11,31.75,139669082,$32.18 ,$31.60 
3/22/2010,31.5,32.1071,113828294,$32.29 ,$31.45 
3/23/2010,32.23,32.6228,150384825,$32.68 ,$32.01 
3/24/2010,32.52,32.7671,149419805,$32.89 ,$32.50 
3/25/2010,32.99,32.3786,135463131,$33.00 ,$32.32 
3/26/2010,32.71,32.9857,159986658,$33.14 ,$32.65 
3/29/2010,33.29,33.1986,130887089,$33.41 ,$33.09 
3/30/2010,33.8,33.6921,131326339,$33.93 ,$33.46 
3/31/2010,33.64,33.5714,107438412,$33.80 ,$33.49 
4/1/2010,33.93,33.71,150568295,$34.10 ,$33.25 
4/5/2010,33.57,34.07,170363601,$34.07 ,$33.54 
4/6/2010,34.03,34.22,111431983,$34.32 ,$33.86 
4/7/2010,34.25,34.3714,156909177,$34.56 ,$34.09 
4/8/2010,34.35,34.2786,142899723,$34.51 ,$34.01 
4/9/2010,34.49,34.5414,83443105,$34.56 ,$34.35 
4/12/2010,34.6,34.6128,83236885,$34.72 ,$34.54 
4/13/2010,34.55,34.6328,76184103,$34.69 ,$34.44 
4/14/2010,35.04,35.0986,100827750,$35.12 ,$34.87 
4/15/2010,35.11,35.56,93876048,$35.58 ,$35.07 
4/16/2010,35.51,35.3428,187514026,$35.88 ,$34.94 
4/19/2010,35.29,35.2957,141571402,$35.41 ,$34.54 
4/20/2010,35.51,34.9414,177792843,$35.61 ,$34.71 
4/21/2010,36.97,37.0314,245072944,$37.18 ,$36.53 
4/22/2010,36.89,38.0671,197849809,$38.11 ,$36.60 
4/23/2010,38.28,38.69,198906390,$38.88 ,$38.14 
4/26/2010,38.84,38.5,119378876,$38.92 ,$38.31 
4/27/2010,38.18,37.4343,176955713,$38.26 ,$37.22 
4/28/2010,37.61,37.3714,189375537,$37.71 ,$36.63 
4/29/2010,37.57,38.3771,139522502,$38.57 ,$37.43 
